Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Widgets,Use const constructors,Mark widgets as const whenever possible to prevent unnecessary rebuilds and improve performance.,"Use const for all stateless widgets and immutable subtrees: const Text('Hello'), const SizedBox(height: 16)","Use non-const constructors for static widgets; omit const keyword on Padding/Text/Icon/SizedBox","const Text('Label', style: TextStyle(fontSize: 16))","Text('Label', style: TextStyle(fontSize: 16))",HIGH,https://dart.dev/guides/language/effective-dart/usage#do-use-const-for-compile-time-constants
Widgets,Decompose large build methods,Split complex Widget trees into named private widgets or methods to improve readability and enable const optimization.,"Extract subtrees into _HeaderWidget, _CardRow, etc. as StatelessWidget subclasses","Keep 200+ line build() methods; use inline Builder callbacks for all subtrees","class _ProductCard extends StatelessWidget { const _ProductCard({required this.item}); }","Widget build(BuildContext ctx) { return Column(children: [ Container(child: Row(children: [ ... long nested tree ... ])) ]); }",MEDIUM,https://docs.flutter.dev/perf/best-practices
Lists,Use ListView.builder for dynamic lists,ListView.builder lazily builds items only when visible; ListView with children list eagerly instantiates all items regardless of viewport.,"Use ListView.builder with itemCount and itemBuilder for all lists with 3+ items","Use ListView(children: items.map(...).toList()) for long lists","ListView.builder(itemCount: items.length, itemBuilder: (ctx, i) => ItemTile(item: items[i]))","ListView(children: items.map((i) => ItemTile(item: i)).toList())",HIGH,https://api.flutter.dev/flutter/widgets/ListView/ListView.builder.html
Lists,Use SliverList for complex scroll layouts,SliverList inside CustomScrollView enables mixing lists with headers, grids, and slivers without nesting scroll views.,"Use CustomScrollView + SliverList + SliverAppBar for screens with collapsing headers","Nest ListView inside SingleChildScrollView; use NestedScrollView without understanding its constraints","CustomScrollView(slivers: [SliverAppBar(...), SliverList(delegate: SliverChildBuilderDelegate(...))])","-",HIGH,https://api.flutter.dev/flutter/widgets/SliverList-class.html
Lists,Virtualize lists with 50+ items,Large lists must use virtualized rendering. Consider using flutter_virtual_listview for very large datasets to prevent memory issues.,"Use ListView.builder or SliverList; consider page-based loading for 500+ items","Render all items at once in a Column; use ListView with children for large datasets","-","-",MEDIUM,https://pub.dev/packages/flutter_virtual_listview
Performance,RepaintBoundary for animations,Wrap independently animating widgets in RepaintBoundary to isolate repaints and prevent unnecessary repaints of surrounding widgets.,"Wrap AnimatedWidget, Lottie, and custom animation subtrees in RepaintBoundary","Skip RepaintBoundary on all animated widgets; animate the entire screen","RepaintBoundary(child: AnimatedLogo())","AnimatedLogo() // without isolation",HIGH,https://api.flutter.dev/flutter/widgets/RepaintBoundary-class.html
Performance,Cache MediaQuery results,MediaQuery.of(context) rebuilds on every query call inside build. Cache the result in a local variable at the top of build().,Cache in variable at the top of build: final mq = MediaQuery.of(context);,"Call MediaQuery.of(context).size.width multiple times inside loops or deep in widget trees","final size = MediaQuery.of(context).size; final w = size.width;","Container(width: MediaQuery.of(context).size.width * 0.5, height: MediaQuery.of(context).size.height * 0.3)",MEDIUM,https://api.flutter.dev/flutter/widgets/MediaQuery-class.html
Performance,Use cached_network_image,Raw Image.network has no caching; cached_network_image caches to disk and memory with placeholder and error support.,"Use CachedNetworkImage for all remote images with placeholder and errorWidget","Use Image.network directly in production apps","CachedNetworkImage(imageUrl: url, placeholder: (ctx, url) => Shimmer(...), errorWidget: (ctx, url, e) => Icon(Icons.error))","Image.network(url)",HIGH,https://pub.dev/packages/cached_network_image
Performance,Avoid animating layout properties,Animating width/height/padding triggers layout recalculation on every frame. Use transform and opacity instead — these are compositing operations.,"Animate transform and opacity only; use AnimatedPositioned only when truly needed","Animate width/height directly with AnimatedContainer for frequent animations","widget.animate().scale(duration: 300.ms).fadeIn()","AnimatedContainer(duration: Duration(milliseconds: 300), width: isExpanded ? 200 : 100)",HIGH,https://docs.flutter.dev/perf/best-practices#control-build-cost
Theming,Use ThemeData as design system,All visual tokens (colors, text styles, shapes, elevations) must be defined in ThemeData and accessed via Theme.of(context). Never hardcode in widgets.,"Define colorScheme, textTheme, cardTheme, inputDecorationTheme at app level; access via Theme.of(context)","Hardcode Color(0xFF1A1A2E) or TextStyle(fontSize: 14) directly in widgets","Theme.of(context).colorScheme.primary","const Color(0xFF3B82F6)",CRITICAL,https://api.flutter.dev/flutter/material/ThemeData-class.html
Theming,Separate light and dark ThemeData,Define independent ThemeData for light and dark. Never derive dark from light at runtime by inverting colors. Dark mode needs independent design decisions.,"MaterialApp(theme: lightTheme, darkTheme: darkTheme, themeMode: ThemeMode.system)","Use Theme.of(context).brightness to invert light theme colors at runtime","ThemeData(brightness: Brightness.dark, colorScheme: ColorScheme.fromSeed(seedColor: brandColor, brightness: Brightness.dark))","-",HIGH,https://docs.flutter.dev/cookbook/design/themes
Theming,Define radius and spacing constants,Inconsistent border radius and spacing values are the #1 cause of visually unprofessional apps. Define as constants and use everywhere.,"Define kRadiusSm=8.0 kRadiusMd=12.0 kRadiusLg=20.0 and 4/8dp spacing constants","Use arbitrary BorderRadius.circular(6)/circular(9)/circular(11) per widget","BorderRadius.circular(kRadiusMd)","BorderRadius.circular(11)",MEDIUM,https://m3.material.io/foundations/layout/understanding-layout/spacing
Typography,Use google_fonts package,Google Fonts provides 1400+ fonts without asset bundling. Use distinctive pairings — never ship with default Roboto for the entire app.,Use GoogleFonts for display/heading fonts; pair with a refined body font via GoogleFonts.xyzTextTheme(),"Default to Roboto system font for all text; use the same font for headings and body","GoogleFonts.playfairDisplay(fontSize: 32, fontWeight: FontWeight.w700)","Text('Title', style: TextStyle(fontSize: 32))",MEDIUM,https://pub.dev/packages/google_fonts
Typography,Use textTheme roles consistently,Map fonts to TextTheme roles (displayLarge/titleMedium/bodyMedium/labelSmall) in ThemeData so all Text widgets automatically use the design system.,"Extend theme styles with copyWith: Theme.of(context).textTheme.bodyMedium!.copyWith(color: ...)","Create inline TextStyle instances in widgets; ignore ThemeData.textTheme","Theme.of(context).textTheme.titleLarge","const TextStyle(fontSize: 22, fontWeight: FontWeight.w600)",HIGH,https://m3.material.io/styles/typography/applying-type-scale
Typography,Support Dynamic Type (text scaling),Flutter respects MediaQuery.textScaleFactor by default. Never use fixed-height containers around text or it will clip when user increases font size.,"Use Flexible/Expanded around text containers; avoid SizedBox with fixed height around Text","Wrap Text in SizedBox(height: 20) that cannot grow; disable textScaleFactor","Flexible(child: Text(label))","SizedBox(height: 20, child: Text(label))",HIGH,https://docs.flutter.dev/accessibility-and-localization/accessibility
Accessibility,Semantics on icon buttons,Icon-only buttons are invisible to screen readers without explicit semantic labels. Every IconButton must have tooltip or semantics label.,"Add tooltip: 'Close' to IconButton; or wrap in Semantics(label: 'Close', button: true)","Use bare Icon inside GestureDetector without any semantics","IconButton(icon: Icon(Icons.close), tooltip: 'Close dialog', onPressed: onClose)","GestureDetector(onTap: onClose, child: Icon(Icons.close))",CRITICAL,https://docs.flutter.dev/accessibility-and-localization/accessibility
Accessibility,Exclude decorative widgets,Decorative images and dividers add noise to screen reader traversal. Mark them explicitly as non-semantic.,"Use Image(excludeFromSemantics: true) for decorative images; wrap in ExcludeSemantics","Include decorative images with empty or missing semanticsLabel","Image.asset('bg.png', excludeFromSemantics: true)","Image.asset('bg.png')",HIGH,https://api.flutter.dev/flutter/widgets/ExcludeSemantics-class.html
Accessibility,Respect disableAnimations,Users who enable Reduce Motion on iOS or Remove Animations on Android expect animations to be reduced or eliminated. Always check MediaQuery.disableAnimations.,"Check MediaQuery.of(context).disableAnimations before running animations; provide instant alternatives","Ignore disableAnimations; always play animations regardless of accessibility settings","if (!MediaQuery.of(context).disableAnimations) { widget.animate()... }","widget.animate().fadeIn(duration: 300.ms)",HIGH,https://docs.flutter.dev/accessibility-and-localization/accessibility
Touch,Minimum touch target 44pt/48dp,Small touch targets cause mis-taps and fail accessibility guidelines. iOS minimum is 44×44pt; Material minimum is 48×48dp.,"Use kMinInteractiveDimension constant; expand hit area with Padding inside GestureDetector using HitTestBehavior.opaque","Use 20×20dp icon without expanded hit area","GestureDetector(behavior: HitTestBehavior.opaque, child: Padding(padding: EdgeInsets.all(12), child: Icon(Icons.info, size: 20)))","GestureDetector(child: Icon(Icons.info, size: 20))",CRITICAL,https://docs.flutter.dev/accessibility-and-localization/accessibility
Touch,Visual press feedback,Every tappable element needs visual feedback within 100ms of press. Material uses InkWell ripple; Cupertino uses opacity highlight.,"Wrap tappable widgets in InkWell (Material) or use CupertinoButton; add AnimatedScale for custom components","Use GestureDetector alone on custom tappable components with no visual state change","InkWell(onTap: onTap, borderRadius: BorderRadius.circular(12), child: Padding(...))","GestureDetector(onTap: onTap, child: Container(...))",HIGH,https://api.flutter.dev/flutter/material/InkWell-class.html
Touch,Haptic feedback on confirmations,Haptic feedback reinforces important interactions and improves perceived quality. Use HapticFeedback built-in — no package needed.,"Call HapticFeedback.mediumImpact() on confirmations, HapticFeedback.lightImpact() on selections","Omit haptics entirely; use heavy impact for minor interactions","HapticFeedback.mediumImpact(); // in onTap for primary actions","-",MEDIUM,https://api.flutter.dev/flutter/services/HapticFeedback-class.html
Layout,SafeArea on all screens,SafeArea insets content away from notch, Dynamic Island, status bar, and gesture bar. Missing SafeArea causes content to appear under system chrome.,Wrap Scaffold body or its children in SafeArea; use SafeArea for fixed bottom bars outside Scaffold,"Omit SafeArea; use hardcoded top padding like EdgeInsets.only(top: 44)","Scaffold(body: SafeArea(child: content))","Scaffold(body: Padding(padding: EdgeInsets.only(top: 44), child: content))",CRITICAL,https://api.flutter.dev/flutter/widgets/SafeArea-class.html
Layout,Use LayoutBuilder for responsive components,LayoutBuilder provides constraints for the current widget's available space — more accurate than MediaQuery.size for components inside complex layouts.,"Use LayoutBuilder for responsive component behavior; MediaQuery for screen-level decisions","Use MediaQuery.of(context).size inside deep widget trees for component-level responsiveness","LayoutBuilder(builder: (ctx, constraints) { if (constraints.maxWidth > 600) return WideLayout(); return NarrowLayout(); })","Container(width: MediaQuery.of(context).size.width > 600 ? 400 : double.infinity)",HIGH,https://api.flutter.dev/flutter/widgets/LayoutBuilder-class.html
Layout,Scaffold handles bottom bar insets,Use Scaffold.bottomNavigationBar to place bottom bars — Scaffold automatically insets scroll content. Manual padding causes double-inset bugs.,"Pass BottomNavigationBar/NavigationBar to Scaffold.bottomNavigationBar","Add manual Padding(bottom: kBottomNavigationBarHeight) inside scroll views when using Scaffold.bottomNavigationBar","Scaffold(bottomNavigationBar: BottomNavigationBar(...), body: ListView.builder(...))","Scaffold(body: Column(children: [Expanded(child: ListView.builder(...)), BottomBar()]))",MEDIUM,https://api.flutter.dev/flutter/material/Scaffold-class.html
Navigation,Use go_router for deep linking,Navigator 1.0 push/pop cannot deep link or restore state from system navigation. go_router provides declarative routing with deep link support.,"Define GoRouter with GoRoute paths; use context.go() and context.push()","Use only Navigator.push/pop for all navigation; no named routes or deep linking","GoRouter(routes: [GoRoute(path: '/', builder: ...), GoRoute(path: '/detail/:id', builder: ...)])","Navigator.push(context, MaterialPageRoute(builder: (_) => DetailScreen()))",HIGH,https://pub.dev/packages/go_router
Navigation,BottomNavigationBar max 5 items,More than 5 items in a bottom nav creates cognitive overload and visual cramping. Use Drawer for secondary navigation.,"Use NavigationBar (M3) or BottomNavigationBar with 3-5 top-level items only","Add 6+ items to bottom nav; omit labels from bottom nav items","NavigationBar(destinations: [NavigationDestination(icon: Icon(Icons.home), label: 'Home'), ...])","BottomNavigationBar(items: [...6 or more items...])",HIGH,https://m3.material.io/components/navigation-bar/guidelines
Navigation,Handle Android predictive back,Android 13+ has gesture-based predictive back. Implement PopScope to confirm navigation on screens with unsaved changes.,"Wrap screen in PopScope(canPop: false, onPopInvokedWithResult: ...) to show confirm dialog before leaving","Ignore back gesture handling; let Navigator pop automatically on all screens","PopScope(canPop: false, onPopInvokedWithResult: (didPop, _) { if (!didPop) _showDiscardDialog(context); }, child: screen)","-",MEDIUM,https://api.flutter.dev/flutter/widgets/PopScope-class.html
Navigation,iOS swipe-back preservation,CupertinoPageRoute enables iOS native swipe-back. MaterialPageRoute blocks it on iOS. go_router uses CupertinoPage for iOS targets.,"Use CupertinoPage or CupertinoPageRoute on iOS; go_router handles this automatically","Use MaterialPageRoute for all platforms including iOS without Cupertino variant","GoRoute(path: '/detail', pageBuilder: (ctx, state) => CupertinoPage(child: DetailScreen()))","Navigator.push(ctx, MaterialPageRoute(builder: (_) => DetailScreen())) // blocks iOS swipe-back",MEDIUM,https://api.flutter.dev/flutter/cupertino/CupertinoPageRoute-class.html
Animation,flutter_animate for declarative animations,flutter_animate provides a clean declarative API for common animations (fade, slide, scale, shimmer) with stagger support and reduced boilerplate.,"Use .animate().fadeIn().slideY() chain; use delay: for stagger effects","Write AnimationController + Tween + AnimatedBuilder boilerplate for every simple fade/slide","Text('Hello').animate().fadeIn(duration: 300.ms, curve: Curves.easeOut).slideY(begin: 0.1)","AnimationController(vsync: this, duration: 300ms)..forward(); FadeTransition(opacity: _anim, child: Text('Hello'))",MEDIUM,https://pub.dev/packages/flutter_animate
Animation,Stagger list entrance animations,Items appearing simultaneously feel abrupt. Stagger by 30-50ms per item for a polished list reveal.,"Use delay: (index * 50).ms in .animate() chain for each list item","Animate all list items simultaneously with the same duration and no delay","...items.asMap().entries.map((e) => ItemWidget(e.value).animate(delay: (50 * e.key).ms).fadeIn())","items.map((item) => ItemWidget(item).animate().fadeIn())",LOW,https://pub.dev/packages/flutter_animate
Animation,Page transitions with go_router,go_router's CustomTransitionPage enables app-wide consistent page transitions. Default MaterialPage transition feels generic on iOS.,"Define custom pageBuilder with CustomTransitionPage for key routes; use slide for forward, fade for modal","Use default page transitions for all routes; mix different transition types randomly","CustomTransitionPage(child: Screen(), transitionsBuilder: (ctx, anim, _, child) => SlideTransition(..., child: child))","GoRoute(path: '/screen', builder: (ctx, state) => Screen())",LOW,https://pub.dev/packages/go_router
Forms,Visible labels on all inputs,Placeholder-only inputs fail when the user starts typing (label disappears) and fail accessibility guidelines. Always use labelText.,"Use InputDecoration with labelText (floating label) and optional helperText; add errorText for validation","Use hintText as the only label; omit labelText entirely","TextFormField(decoration: InputDecoration(labelText: 'Email', helperText: 'Used for login'))","TextFormField(decoration: InputDecoration(hintText: 'Email'))",HIGH,https://api.flutter.dev/flutter/material/InputDecoration-class.html
Forms,Correct keyboard type per input,Wrong keyboard type forces users to switch keyboard layout manually. Always set keyboardType and textInputAction.,"Set keyboardType: TextInputType.emailAddress for email, TextInputType.phone for phone, TextInputType.number for numbers","Use TextInputType.text for all inputs including email, phone, and URL","TextFormField(keyboardType: TextInputType.emailAddress, textInputAction: TextInputAction.next)","-",HIGH,https://api.flutter.dev/flutter/services/TextInputType-class.html
Forms,Autofill hints for standard fields,Platform autofill (iOS Keychain, Android Autofill Framework) works only when autofillHints is set. Dramatically improves onboarding conversion.,"Set autofillHints: const [AutofillHints.email] for email, AutofillHints.password for password, etc.","Omit autofillHints on login, signup, and checkout forms","TextFormField(autofillHints: const [AutofillHints.emailAddress])","TextFormField(keyboardType: TextInputType.emailAddress) // missing autofill hint",MEDIUM,https://api.flutter.dev/flutter/material/AutofillHints-class.html
Forms,Confirm destructive actions,Irreversible actions (delete, logout, clear data) must be confirmed with a dialog. Use CupertinoAlertDialog on iOS, AlertDialog on Android.,"Show showDialog with confirm/cancel options before any destructive operation","Execute delete/logout immediately on button tap with no confirmation","showDialog(context: ctx, builder: (_) => AlertDialog(title: Text('Delete item?'), actions: [TextButton(child: Text('Cancel'), ...), TextButton(child: Text('Delete'), ...)]))","onTap: () => repository.delete(item.id)",HIGH,https://api.flutter.dev/flutter/material/AlertDialog-class.html
Platform,Cupertino vs Material widgets,Flutter renders Material widgets on all platforms by default. For iOS feel use Cupertino equivalents. go_router and platform checks enable adaptive UI.,"Check Theme.of(context).platform or use adaptive constructors (Switch.adaptive, CircularProgressIndicator.adaptive)","Use Material widgets only with no platform consideration; ignore iOS HIG on iOS builds","Switch.adaptive(value: val, onChanged: onChanged)","Switch(value: val, onChanged: onChanged) // always Material",MEDIUM,https://docs.flutter.dev/platform-integration/platform-adaptations
Platform,Adaptive dialogs,AlertDialog follows Material Design. CupertinoAlertDialog follows iOS HIG. Platform-correct dialogs improve perceived quality on each OS.,"Use showAdaptiveDialog or showCupertinoDialog on iOS, showDialog on Android","Show AlertDialog (Material) on iOS devices","Platform.isIOS ? showCupertinoDialog(...) : showDialog(...)","showDialog(context: ctx, builder: (_) => AlertDialog(...)) // on all platforms",MEDIUM,https://api.flutter.dev/flutter/cupertino/showCupertinoDialog.html
Images,Declare image dimensions,Images without declared dimensions cause layout shift (CLS equivalent in Flutter). Always reserve space with AspectRatio or width/height.,"Set explicit width/height or wrap in AspectRatio widget for all images","Let Image widget determine its own size from network response; causes layout jump","AspectRatio(aspectRatio: 16/9, child: CachedNetworkImage(imageUrl: url))","CachedNetworkImage(imageUrl: url) // no size reservation",HIGH,https://docs.flutter.dev/perf/best-practices
Images,Precache hero images,Images shown immediately on page load should be precached to prevent a visible loading flash on first render.,"Call precacheImage(NetworkImage(url), context) in initState for above-the-fold images","Load hero images only when widget builds; accept the flash on first load","precacheImage(const AssetImage('assets/hero.png'), context);","-",MEDIUM,https://api.flutter.dev/flutter/widgets/precacheImage.html
